STATION,DATE,ROUTE,MP,LANE,H0000,H0100,H0200,H0300,H0400,H0500,H0600,H0700,H0800,H0900,H1000,H1100,H1200,H1300,H1400,H1500,H1600,H1700,H1800,H1900,H2000,H2100,H2200,H2300,TOTAL
-658,2023-01-04,89,349.598,NLane1,,,,,,,,,,,26.0,245.0,365.0,321.0,283.0,288.0,302.0,280.0,276.0,199.0,143.0,48.0,21.0,7.0,2804
-658,2023-01-04,89,349.598,NLane2,,,,,,,,,,,36.0,381.0,427.0,448.0,403.0,416.0,450.0,462.0,408.0,327.0,259.0,140.0,85.0,26.0,4268
-658,2023-01-04,89,349.598,NLane3,,,,,,,,,,,29.0,446.0,507.0,490.0,479.0,501.0,561.0,505.0,431.0,294.0,198.0,141.0,89.0,35.0,4706
-658,2023-01-04,89,349.598,PLane1,,,,,,,,,,,45.0,502.0,623.0,667.0,584.0,579.0,605.0,669.0,522.0,413.0,253.0,173.0,90.0,45.0,5770
-658,2023-01-04,89,349.598,PLane2,,,,,,,,,,,38.0,419.0,547.0,520.0,500.0,514.0,550.0,610.0,462.0,331.0,235.0,149.0,66.0,30.0,4971
-658,2023-01-04,89,349.598,PLane3,,,,,,,,,,,1.0,13.0,10.0,24.0,10.0,16.0,6.0,12.0,10.0,3.0,4.0,2.0,3.0,0.0,114
-658,2023-01-06,89,349.598,NLane1,6.0,3.0,5.0,0.0,4.0,11.0,17.0,39.0,82.0,137.0,204.0,311.0,394.0,329.0,309.0,328.0,385.0,399.0,415.0,371.0,244.0,109.0,61.0,27.0,4190
-658,2023-01-06,89,349.598,NLane2,16.0,12.0,8.0,4.0,11.0,36.0,61.0,153.0,204.0,255.0,285.0,376.0,473.0,456.0,427.0,420.0,460.0,466.0,515.0,409.0,295.0,173.0,137.0,75.0,5727
-658,2023-01-06,89,349.598,NLane3,24.0,11.0,11.0,4.0,14.0,31.0,61.0,191.0,243.0,248.0,264.0,368.0,484.0,468.0,465.0,489.0,501.0,488.0,483.0,354.0,261.0,158.0,113.0,61.0,5795
-658,2023-01-06,89,349.598,PLane1,29.0,14.0,7.0,14.0,20.0,36.0,96.0,201.0,256.0,349.0,446.0,489.0,573.0,585.0,572.0,596.0,575.0,625.0,607.0,475.0,270.0,242.0,138.0,88.0,7303
-658,2023-01-06,89,349.598,PLane2,14.0,12.0,5.0,6.0,8.0,33.0,80.0,132.0,243.0,262.0,336.0,430.0,554.0,529.0,503.0,492.0,508.0,544.0,535.0,426.0,367.0,237.0,142.0,62.0,6460
